nombre,precio_alquiler,precio_venta,superficie_venta,codi_districte,nom_districte,codi_barri,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars,año,num_mes,trimestre,dia_semana,precio_alquiler_lag_1,precio_alquiler_lag_3,precio_alquiler_lag_6,precio_alquiler_lag_12
la sagrera,10.5781,2162.90909090909,106.83333333333334,9,6,61,1.0,2,2,2,2015,10,4,3,10.3461,9.8821,9.58571708860759,8.98
la sagrera,10.59827978962035,2204.75,101.0,9,6,61,1.0,2,2,2,2015,11,4,6,10.5781,10.114099999999999,9.68451139240506,9.084021223958334
la sagrera,10.6184595792407,2024.70588235294,95.16666666666667,9,6,61,1.0,2,2,2,2015,12,4,1,10.59827978962035,10.3461,9.783305696202529,9.188042447916667
la sagrera,10.63863936886105,2140.526315789475,89.33333333333334,9,6,61,1.0,2,2,2,2016,1,1,4,10.6184595792407,10.5781,9.8821,9.292063671875
la sagrera,10.438626245907367,2141.5,83.5,9,6,61,1.0,2,2,2,2016,2,1,0,10.63863936886105,10.59827978962035,10.114099999999999,9.389948144119197
la sagrera,10.238613122953684,2041.6875,77.66666666666667,9,6,61,1.0,2,2,2,2016,3,1,1,10.438626245907367,10.6184595792407,10.3461,9.487832616363393
la sagrera,10.0386,2380.625,71.83333333333334,9,6,61,1.0,2,2,2,2016,4,2,4,10.238613122953684,10.63863936886105,10.5781,9.58571708860759
la sagrera,10.175120900748334,2029.52631578947,66.0,9,6,61,1.0,2,2,2,2016,5,2,6,10.0386,10.438626245907367,10.59827978962035,9.68451139240506
la sagrera,10.311641801496666,2289.71428571429,312.125,9,6,61,1.0,2,2,2,2016,6,2,2,10.175120900748334,10.238613122953684,10.6184595792407,9.783305696202529
la sagrera,10.448162702245,2042.0,558.25,9,6,61,1.0,2,2,2,2016,7,3,4,10.311641801496666,10.0386,10.63863936886105,9.8821
